title,city,state,postal_code,zestimate,rentZestimate,HOA,price,yearBuilt,area,daysOnZillow,facts and features,url,P2R
Condo for sale,Charlotte,NC,28202,287512,1525,,289900,,747,-1,"1 beds, 1.0 baths",https://www.zillow.com/homedetails/210-N-Church-St-UNIT-1306-Charlotte-NC-28202/83955681_zpid/,15.711038251366121
Coming soon,Charlotte,NC,28203,277624,1550,,280000,,1002,-1,"2 beds, 1.0 baths",https://www.zillow.com/homedetails/815-Lexington-Ave-APT-C-Charlotte-NC-28203/6221872_zpid/,14.926021505376344
Coming soon,Charlotte,NC,28202,301545,1333,,249900,,809,-1,"1 beds, 1.0 baths",https://www.zillow.com/homedetails/1101-W-1st-St-Charlotte-NC-28202/2103179894_zpid/,18.851275318829707
House for sale,Iron Station,NC,28080,620058,2449,,619900,,3253,-1,"4 beds, 4.0 baths",https://www.zillow.com/homedetails/994-Lowes-Ln-Iron-Station-NC-28080/98776457_zpid/,21.099020008166598
Lot / Land for sale,Stanley,NC,28164,0,1125,,175000,,,-1,"None beds, None baths",https://www.zillow.com/homedetails/102-Winding-Trl-Stanley-NC-28164/5890748_zpid/,12.962962962962964
House for sale,Lowell,NC,28098,310231,1650,,298300,,1515,2,"3 beds, 2.0 baths",https://www.zillow.com/homedetails/709-Bowen-Dr-Lowell-NC-28098/51628604_zpid/,15.668232323232322
House for sale,Cramerton,NC,28032,173777,1200,,170000,,1030,-1,"2 beds, 1.0 baths",https://www.zillow.com/homedetails/325-Mayflower-Ave-Cramerton-NC-28032/5902857_zpid/,12.067847222222222
House for sale,Belmont,NC,28012,323580,1425,,310000,,1703,-1,"3 beds, 2.0 baths",https://www.zillow.com/homedetails/107-Alberta-Ave-Belmont-NC-28012/5897370_zpid/,18.92280701754386
House for sale,Cramerton,NC,28032,164849,1270,,149900,,1216,-1,"2 beds, 2.0 baths",https://www.zillow.com/homedetails/310-Mayflower-Ave-Cramerton-NC-28032/5902872_zpid/,10.816863517060368
House for sale,Belmont,NC,28012,190000,1395,,190000,,1400,-1,"2 beds, 1.0 baths",https://www.zillow.com/homedetails/6016-W-Wilkinson-Blvd-Belmont-NC-28012/299746439_zpid/,11.350059737156512
House for sale,Cramerton,NC,28032,132764,1400,,130000,,1719,-1,"4 beds, 1.0 baths",https://www.zillow.com/homedetails/202-Church-St-Cramerton-NC-28032/5897225_zpid/,7.902619047619048
